h3,places
89269606477ffff,9
8926960640bffff,4
89269615d6fffff,1
89269614a6bffff,6
89269614a63ffff,2
89269615c13ffff,1
89269614267ffff,4
89269615d63ffff,4
89269615d3bffff,3
8926961434bffff,3
89269614b7bffff,24
89269614b4fffff,1
89269614a27ffff,12
89269614bd7ffff,3
89269614b2bffff,8
89269614ba3ffff,9
89269614ba7ffff,9
89269614b83ffff,4
892696a901bffff,34
892696a90d3ffff,13
892696a955bffff,1
892696a96bbffff,6
89269614923ffff,13
892696ab26bffff,15
892696a94bbffff,8
8926961485bffff,5
89269614e07ffff,5
892696149cbffff,1
89269614897ffff,10
89269614ea3ffff,6
89269614c77ffff,1
89269614cabffff,20
89269614c17ffff,12
89269616b4bffff,4
89269614993ffff,2
892696ab25bffff,7
89269614d3bffff,15
892696ab2cbffff,15
892696ab213ffff,22
892696ab2d3ffff,6
892696ab66fffff,32
89269614dc3ffff,1
89269614dd7ffff,1
89269614d17ffff,3
892696ab67bffff,88
892696ab663ffff,44
892696ab677ffff,129
892696ab647ffff,50
892696a82d7ffff,4
892696a94b3ffff,2
892696ab357ffff,2
892696a8657ffff,13
892696a8677ffff,1
892696a8613ffff,1
892696a804bffff,2
892696a8047ffff,11
892696a81cfffff,1
892696a80afffff,1
892696a8633ffff,3
892696a80c7ffff,1
892696a86bbffff,2
892696a840bffff,12
892696a8477ffff,1
892696a8427ffff,2
892696ab31bffff,4
892696ab3c3ffff,6
892696ab01bffff,62
892696ab397ffff,5
892696ab45bffff,42
892696ab42bffff,2
892696ab0bbffff,3
892696ab0b3ffff,3
892696ab42fffff,6
892696ab427ffff,5
892696a8453ffff,12
892696a84c7ffff,2
892696ab117ffff,3
892696aa20fffff,2
892696aa227ffff,6
892696ab5abffff,15
89269616a3bffff,5
89269616a07ffff,1
89269616e47ffff,4
89269616e73ffff,1
89269616e23ffff,4
89269616847ffff,2
89269616827ffff,1
89269616807ffff,5
892696168d7ffff,4
892696b925bffff,12
89269616cbbffff,1
892696b907bffff,6
892696b9333ffff,1
892696b9143ffff,1
8926960658bffff,4
89269614b6fffff,11
892696065abffff,6
892696ab60bffff,10
892696ab633ffff,61
892696a91dbffff,58
892696aaa3bffff,2
892696141cfffff,7
892696141b7ffff,2
89269602b87ffff,5
8926960740bffff,1
892696074c7ffff,1
892696074b3ffff,1
89269607593ffff,31
89269615b0fffff,6
89269615a33ffff,1
89269615bdbffff,3
8926961582fffff,1
8926960609bffff,2
89269615973ffff,1
89269615947ffff,4
8926960649bffff,13
89269615c6fffff,2
89269615c33ffff,1
89269615c17ffff,1
8926961424fffff,2
89269614243ffff,3
8926961423bffff,9
89269615d37ffff,3
89269615da7ffff,3
89269614e4bffff,7
89269614e7bffff,5
8926961410bffff,2
89269614bcbffff,1
892696a9037ffff,10
892696a90cfffff,13
892696a9403ffff,48
892696a94a3ffff,11
89269614a83ffff,5
89269614847ffff,8
8926961495bffff,1
89269614827ffff,1
89269614817ffff,9
89269614d4bffff,3
89269614c03ffff,7
89269614cbbffff,20
89269614ca7ffff,5
892696149b7ffff,8
892696ab243ffff,5
89269614d63ffff,2
89269614d2bffff,20
892696ab203ffff,10
892696ab05bffff,27
89269614dc7ffff,5
89269616b0bffff,3
892696a8213ffff,1
892696a9533ffff,2
892696ab36bffff,14
